"","x","y"
"1",307765.6607364,5451359.44024447
"2",302098.34630276,5457123.40013182
"3",305744.04167859,5443188.20279876
"4",308459.09807119,5444060.21904667
"5",310449.66620016,5447769.82157526
"6",315619.62459458,5443698.84573147
"7",315053.33366779,5448130.29332603
"8",346552.67375716,5453949.54031792
"9",350631.49585733,5445466.10090763
"10",330322.68999717,5457511.18669188
"11",324145.18059835,5448556.45855533
"12",322707.92572098,5453167.42685945
"13",338175.74887817,5447357.20068012
"14",357434.39317438,5447351.74415347
"15",310201.74517791,5506386.6796135
"16",310469.53049701,5513903.0189865
"17",313956.02330412,5472503.0667187
"18",310283.3717657,5485871.59413677
"19",337003.10816083,5484043.18782925
"20",358358.03572536,5472353.84547046
"21",330184.25120506,5475119.6017982
"22",363479.35858481,5471105.18493874
"23",314670.26622197,5453588.37863634
"24",303076.66223764,5462639.30596082
"25",318905.03618183,5458219.2786858
"26",365336.12194497,5464447.21575924
"27",332185.07867743,5463364.71379798
"28",317710.60745441,5466765.86473495
"29",317065.09883417,5476325.55713417
"30",387244.96833956,5445461.47142268
"31",383793.69241319,5457807.54149833
"32",370157.53315899,5442002.87696003
"33",357867.1730189,5335575.21850464
"34",416592.65787083,5364269.76443984
"35",420556.39496127,5353965.11930819
"36",416603.09875526,5356885.91282076
"37",374494.50845486,5342145.41329377
"38",419314.06146648,5436394.09512844
"39",409899.06235631,5432196.36889249
"40",423142.08601432,5437028.23856929
"41",410336.91463231,5411931.32899748
"42",421839.95761131,5433463.33363857
"43",422927.6524932,5423985.83898858
"44",412578.27136947,5428411.23572334
"45",432515.31352896,5428421.99625981
"46",405592.3840663,5437276.23704744
"47",408001.21237832,5432656.22325716
"48",442846.21782373,5437728.29570767
"49",429558.73055012,5396674.05795559
"50",432267.13224199,5392573.94867491
"51",440628.30466795,5405876.89655179
"52",450550.5507988,5405102.66228186
"53",410517.22144678,5410202.51723049
"54",447199.47217334,5421806.13124086
"55",436490.04242957,5422771.80568679
"56",432926.23378962,5425930.05268744
"57",472185.18601695,5426109.34397191
"58",517420.31413364,5456932.68309285
"59",520235.52605174,5453510.79129022
"60",519317.76172387,5452616.82956685
"61",476241.91167763,5423328.47236564
"62",478001.08443029,5421958.81540234
"63",550322.85308631,5419635.8387621
"64",528145.58064045,5448901.85141456
"65",527218.97680205,5451502.5879665
"66",535697.37376209,5436889.37301321
"67",546497.76358607,5451202.65199289
"68",522114.69359595,5451330.46559675
"69",538768.22088234,5452395.27391381
"70",550772.442336,5448804.03771169
"71",553036.67253927,5445329.5635617
"72",589080.9080064,5445616.26820194
"73",553055.81248947,5466486.22882299
"74",551798.77693926,5458222.4601341
"75",580325.84716135,5462695.81661612
"76",586787.11973477,5465529.61708415
"77",603934.64945544,5471727.49289003
"78",569461.56858646,5469604.30072028
"79",575830.70290443,5463629.81974419
"80",593368.79558,5477227.34816432
"81",574672.36020052,5466911.2373351
"82",576592.01753875,5460968.15720332
"83",584521.41625733,5464105.17995356
"84",595988.0858379,5473951.26603201
"85",522823.80797865,5454953.97988814
"86",562108.67431672,5451304.26293313
"87",533674.24844061,5453548.16360455
"88",547274.05001887,5454223.2547568
"89",541148.16977156,5454214.4315469
"90",519406.06486922,5457399.96523246
"91",574023.41968501,5458039.89777208
"92",586141.96273179,5457912.44302173
"93",560603.76707347,5466099.55167896
"94",564827.77819896,5460102.57213924
"95",562410.10831197,5468468.5868209
"96",588558.80403989,5458979.26510139
"97",601799.20659258,5469002.74970125
"98",529498.52138384,5416632.37880725
"99",547445.95879462,5419224.38190334
"100",534022.89922516,5412095.72873543
"101",529299.77308201,5410019.6713071
"102",525966.40989466,5409018.52341677
"103",549229.96135378,5404899.66536618
"104",533263.15912185,5401406.38965387
"105",519879.92766906,5450578.93677077
"106",558999.55081181,5402354.43063943
"107",570792.84659032,5374236.35661303
"108",568698.53549734,5384971.48991142
"109",569288.59003443,5400158.10239974
"110",563985.41548052,5378776.36389606
"111",575195.67293668,5373009.54095135
"112",564099.26119367,5386404.86098717
"113",565406.73804502,5382092.0499853
"114",568653.82414882,5378267.72586286
"115",578205.72863562,5393747.1667909
"116",573625.90741032,5383081.99826449
"117",590159.14963048,5384681.48948169
"118",596050.12351366,5381445.54939803
"119",608328.08168025,5393476.26594312
"120",593240.28551485,5372022.18037066
"121",593932.49731825,5378434.7713151
"122",590583.87175227,5398150.2833437
"123",593824.1113258,5400297.64731074
"124",594659.23222214,5385488.85685009
"125",592637.70702708,5406738.89100143
"126",597780.482465,5413469.8194734
"127",602361.66632261,5407275.10334307
"128",588588.52960967,5379631.79815961
"129",590676.3190176,5389074.43588898
"130",590518.69432767,5390902.19488295
"131",603312.65788964,5383785.29302839
"132",597884.78515366,5408744.07811754
"133",606409.6763074,5434110.50385473
"134",603923.21632939,5433448.17220658
"135",603364.10755006,5451704.98716838
"136",598996.44732028,5447326.56442667
"137",604182.21560558,5445930.37508057
"138",605508.99651053,5470587.04121258
"139",596174.95322483,5453662.13260932
"140",605079.92651567,5428770.26042721
"141",605344.32933767,5464218.7043245
"142",607628.18708699,5422086.28353516
"143",581429.76435678,5380781.27434359
"144",584437.73622105,5383628.96902943
"145",595121.46954645,5365244.85232139
"146",603547.52541215,5415547.34834854
"147",550993.23760948,5418272.80790792
"148",592060.67172599,5462796.36715448
"149",433063.95179884,5376309.77410828
"150",444130.35042765,5362510.94056064
"151",425273.30541341,5384576.6442093
"152",438399.86708695,5362293.31831132
"153",445721.79860035,5365538.66684286
"154",419035.05491187,5364927.27448169
"155",425040.54250493,5357456.70804868
"156",433120.92408004,5357593.79005676
"157",422680.58529703,5373791.08162454
"158",444057.76462329,5359002.46862465
"159",437712.06158054,5404693.49516239
"160",450815.20154871,5403177.46743605
"161",432899.8978167,5393633.27802662
"162",432572.69982191,5391042.47702185
