X,Y
307765.6607,5451359.44
302098.3463,5457123.4
305744.0417,5443188.203
308459.0981,5444060.219
321903.6299,5414714.295
326572.6202,5454330.213
336182.5489,5423110.725
322490.2833,5457764.421
357434.3932,5447351.744
311456.2194,5472269.85
310201.7452,5506386.68
310469.5305,5513903.019
310283.3718,5485871.594
337003.1082,5484043.188
303076.6622,5462639.306
315936.2793,5463436.64
320341.8962,5519167.705
317065.0988,5476325.557
362929.2849,5386736.43
382519.046,5444947.774
357867.173,5335575.219
365684.6163,5336967.535
364257.0367,5366700.37
370664.0573,5371629.465
366930.8197,5338789.494
366051.6263,5341736.383
370254.9257,5343068.975
381288.0475,5344727.642
402143.0647,5341474.61
401861.5135,5354200.746
416603.0988,5356885.913
378559.0514,5345969.638
375791.1123,5331846.286
406236.1661,5347168.701
406714.8047,5371370.232
447199.4722,5421806.131
472571.2695,5446201.702
472185.186,5426109.344
473338.5731,5437861.435
476254.2036,5433781.72
511193.7455,5455503.657
493839.1253,5454701.759
517420.3141,5456932.683
493492.0096,5451389.686
495044.4866,5446110.222
504830.526,5454863.195
479146.6623,5433388.599
477544.8281,5446176.366
476241.9117,5423328.472
480897.3466,5437156.654
528145.5806,5448901.851
527218.9768,5451502.588
546497.7636,5451202.652
538768.2209,5452395.274
550772.4423,5448804.038
553036.6725,5445329.564
553055.8125,5466486.229
551798.7769,5458222.46
580325.8472,5462695.817
586787.1197,5465529.617
603934.6495,5471727.493
569461.5686,5469604.301
575830.7029,5463629.82
593368.7956,5477227.348
574672.3602,5466911.237
576592.0175,5460968.157
584521.4163,5464105.18
595988.0858,5473951.266
522823.808,5454953.98
533674.2484,5453548.164
547274.05,5454223.255
541148.1698,5454214.432
574023.4197,5458039.898
586141.9627,5457912.443
560603.7671,5466099.552
564827.7782,5460102.572
562410.1083,5468468.587
588558.804,5458979.265
518936.8862,5417920.984
517183.8068,5415903.401
529498.5214,5416632.379
534022.8992,5412095.729
504910.5818,5428242.703
523265.3776,5427481.35
529299.7731,5410019.671
525966.4099,5409018.523
523170.2846,5423408.015
533263.1591,5401406.39
568698.5355,5384971.49
568653.8241,5378267.726
578205.7286,5393747.167
573625.9074,5383081.998
596050.1235,5381445.549
608328.0817,5393476.266
593932.4973,5378434.771
590583.8718,5398150.283
593824.1113,5400297.647
594659.2322,5385488.857
592637.707,5406738.891
597780.4825,5413469.819
602361.6663,5407275.103
588588.5296,5379631.798
590676.319,5389074.436
590518.6943,5390902.195
603312.6579,5383785.293
597884.7852,5408744.078
606409.6763,5434110.504
603923.2163,5433448.172
603364.1076,5451704.987
598996.4473,5447326.564
604182.2156,5445930.375
596174.9532,5453662.133
595830.9385,5426411.14
605079.9265,5428770.26
605344.3293,5464218.704
607628.1871,5422086.284
581429.7644,5380781.274
584437.7362,5383628.969
603547.5254,5415547.348
596581.1656,5420092.373
592060.6717,5462796.367
444130.3504,5362510.941
438399.8671,5362293.318
433120.9241,5357593.79
422680.5853,5373791.082
450815.2015,5403177.467
432572.6998,5391042.477
441703.5002,5403173.894
482741.6812,5415000.098
484153.4077,5392909.307
475108.5236,5415706.878
478427.3644,5397029.321
482515.5079,5407966.802
481009.9307,5412352.854
504463.2898,5408076.424
472935.7263,5418759.296
483636.8641,5411466.752
417422.6606,5387475.042
470825.0295,5387586.022
473433.417,5422348.314
531611.5842,5352840.927
529321.8796,5357449.628
518424.748,5346961.238
518448.3239,5351999.855
532411.9501,5349010.328
516010.1498,5354665.978
522983.6088,5334122.125
525744.1049,5338829.972
524016.45,5356789.284
506844.2292,5358526.513
522066.7085,5344479.338
549755.2219,5347861.736
569617.5293,5356140.907
572332.7358,5333184.089
548646.7671,5352162.737
558441.8075,5324099.449
566248.6247,5331630.79
550011.4658,5343528.566
550728.2126,5327973.215
559308.3372,5346762.092
564026.3983,5323041.883
565656.594,5328947.235
569023.2361,5342649.104
552301.8073,5356914.694
555305.7312,5347042.191
566198.4623,5339302.604
565157.5193,5355505.382
549475.4122,5358013.448
551719.3485,5352818.044
555680.0061,5333985.304
558010.6549,5355821.351
566488.5888,5327281.443
554388.3159,5326061.137
555142.9518,5341908.356
562009.5028,5358089.16
567131.6812,5354269.592
553115.8823,5344736.727
562199.8101,5344001.688
566530.6351,5322974.34
567859.2289,5344043.036
513362.2734,5366447.685
518435.2517,5386680.973
533091.2654,5397989.924
488044.3257,5373769.407
490083.7017,5374167.467
562542.8642,5378767.832
540953.4821,5366413.617
553456.1993,5366994.663
559898.7465,5380276.682
575519.9427,5371841.205
589108.7293,5371638.263
591244.8988,5375397.48
547677.1347,5392220.681
551556.1648,5393704.672
542257.3929,5395126.581
559459.5923,5391622.225
548450.4096,5398908.024
562616.2316,5396317.124
507791.1639,5364963.733
502291.683,5362052.918
496913.0538,5367734.089
546512.0637,5365945.105
549477.3327,5364305.046
555965.5843,5363611.68
568465.7489,5362681.532
553451.8972,5363444.743
537003.4518,5393189.356
539548.3815,5387718.276
562574.0871,5384671.896
550628.8355,5384993.921
567638.5734,5372704.786
586380.4047,5367655.842
496634.4763,5253934.812
478321.9598,5267862.996
502523.3105,5269058.057
469653.0658,5275825.097
514400.2863,5264613.474
485926.6409,5267861.708
488422.8098,5266721.508
507341.2703,5266803.366
507856.1397,5261737.929
496780.6258,5262198.248
481390.2641,5193157.433
472055.6202,5194782.661
484043.738,5197138.168
471432.3987,5201496.959
476281.8267,5190370.584
504472.4265,5227895.472
474404.8857,5242625.745
490112.7987,5236668.794
468750.0962,5236246.557
461458.1351,5204988.583
460883.6481,5286711.278
461855.0354,5321652.04
428403.6791,5323158.958
443566.1401,5317757.544
488417.4508,5313047.561
508191.317,5317497.621
513288.3404,5312165.829
494598.9176,5307959.601
482867.1514,5282079.256
474407.7249,5291560.663
508471.4918,5301290.966
478468.4518,5283456.908
482946.1195,5316133.734
513526.554,5321339.921
447024.6822,5342631.439
461285.4244,5351618.388
447950.0481,5359112.845
439180.3501,5340842.42
455400.2487,5356104.898
450652.8855,5363894.664
462150.5619,5347677.877
438064.6301,5352731.147
432838.1021,5347625.998
444283.0652,5347646.421
442283.8982,5348573.35
451158.3139,5336678.543
455849.7018,5354127.705
450110.6663,5339166.133
446647.833,5351426.67
445565.3094,5337960.657
424344.4334,5340208.734
446588.3905,5355129.326
443244.6976,5353862.368
463520.5217,5343040.964
435844.6074,5340386.008
452550.1715,5366659.92
482033.16,5335419.465
487562.9588,5367574.808
490107.1138,5334290.991
488605.6152,5347663.806
491823.8929,5362087.519
500781.5309,5348053.926
504333.6018,5341909.022
510233.45,5354367.754
478077.6448,5345396.944
486077.4637,5361460.836
489723.7699,5363033.407
473958.8616,5366648.525
482981.9158,5356512.114
507973.5172,5345636.776
516572.479,5346840.458
482579.9498,5331791.641
506031.1963,5347544.237
510127.305,5351658.539
474868.6687,5344933.32
477176.3659,5348645.088
488286.0009,5337297.642
498629.1505,5356394.32
515162.8457,5345530.405
502784.5763,5338944.223
503483.3291,5356273.219
507229.4577,5336563.588
486889.9272,5355507.148
483748.7184,5362737.467
491665.2723,5345065.939
513068.0337,5354327.258
469396.1339,5278802.379
472093.6218,5327864.059
443256.3315,5326518.164
466876.0591,5327201.495
521604.0107,5327774.051
492883.1251,5329201.405
499042.7126,5325675.813
505985.9452,5328443.519
482600.7856,5327101.81
470894.4239,5342519.1
472765.8096,5349189.556
472186.5285,5368801.912
471843.6482,5344608.616
570479.4975,5311150.941
578451.2128,5305403.57
604954.3099,5364073.142
606852.6398,5322736.835
569967.0836,5307990.926
575989.5347,5338855.979
577681.5569,5353013.897
583671.346,5357121.34
586034.4498,5271971.307
597046.2219,5357759.627
603506.6588,5354742.501
568768.5602,5275159.867
568502.9741,5305042.824
576293.1346,5355855.287
578056.8913,5334838.407
587194.0426,5282791.862
553434.9356,5292665.082
557372.7546,5294127.379
561256.7637,5292449.429
562628.0851,5298710.96
571421.6334,5302692.688
581906.3125,5336353.705
590976.4366,5363161.413
608069.414,5337579.554
551942.9632,5284628.993
550833.6704,5288387.98
567353.678,5318154.183
569758.8954,5283562.859
569955.0012,5295114.781
577095.3344,5344957.997
583329.5524,5351703.68
590796.4837,5344354.321
593265.3736,5354342.816
555510.6025,5277379.664
557898.7718,5274824.204
572110.6792,5344095.474
573044.9011,5316619.073
582028.9173,5326453.903
574831.5583,5303027.665
575890.4908,5322079.658
583878.9567,5332363.742
584792.8,5269389.66
572375.5029,5351550.701
578432.6927,5325182.478
581372.0824,5342685.395
581121.5816,5353964.057
592031.7752,5277410.078
594663.6294,5358298.055
607323.3369,5326422.679
606365.1344,5355733.241
527439.5827,5284926.493
522496.4583,5289389.722
525785.8745,5326112.095
558511.1087,5307098.94
528374.8762,5297359.695
515967.8158,5281652.038
537643.0198,5288735.312
511459.2082,5283045.399
548172.2327,5281967.9
545519.602,5286975.221
553176.6248,5296981.661
563523.0562,5316322.699
505157.8072,5288534.818
552030.074,5301517.839
558619.6235,5316433.913
524006.8439,5302308.404
541025.8447,5293063.89
543615.9473,5324361.069
524008.3656,5292953.482
530253.1357,5323824.494
533172.2294,5296432.315
537663.0384,5282535.462
541857.1884,5287121.291
552825.2443,5309322.685
553417.6026,5311246.865
537431.931,5292998.922
510305.381,5268928.489
527846.5029,5265218.566
516523.8825,5251806.835
515588.9436,5254459.306
518872.4893,5228712.947
522576.5283,5206145.622
526919.1817,5245211.531
524969.7946,5221420.201
518654.2725,5195999.561
518900.0149,5238812.464
532738.7406,5214759.742
517447.3309,5248545.925
555050.3609,5267742.098
551831.8524,5273232.806
561665.0982,5262748.21
562471.6731,5266676.591
572749.5467,5268375.861
551647.7811,5268255.633
