from,to,distance
1,2,8083.420469
1,3,8417.60447
1,4,7332.086022
1,5,4482.103024
1,6,10971.3015
1,7,7971.045513
1,8,38873.39704
1,9,43269.05672
1,10,23380.83731
1,11,16617.62249
1,12,15051.24907
1,13,30672.32274
1,14,49830.15764
1,17,22031.19446
1,18,34603.86734
1,19,43852.65885
1,21,32667.08551
1,23,7255.462995
1,24,12215.64888
1,25,13082.16606
1,27,27210.92732
1,28,18337.39024
1,29,26641.81941
2,3,14404.19451
2,4,14529.48255
2,5,12539.29726
2,6,19053.70377
2,7,15770.46821
2,8,44567.48384
2,9,49913.51752
2,10,28227.00755
2,11,23652.80936
2,12,20985.81636
2,13,37375.89635
2,15,49925.30199
2,17,19420.05788
2,18,29890.68919
2,19,44079.67071
2,21,33356.87828
2,23,13059.46199
2,24,5601.99243
2,25,16842.38031
2,27,30727.27553
2,28,18349.92703
2,29,24345.97533
3,4,2851.656282
3,5,6567.658087
3,6,9888.77617
3,7,10539.79014
3,8,42203.68275
3,9,44945.21512
3,10,28447.45719
3,11,19168.20501
3,12,19681.41953
3,13,32698.56534
3,17,30443.35541
3,18,42924.08897
3,21,40211.16864
3,23,13705.51502
3,24,19633.14359
3,25,19978.61403
3,27,33259.88625
3,28,26440.59074
3,29,35017.86098
4,5,4209.930213
4,6,7169.639514
4,7,7749.157873
4,8,39356.3106
4,9,42195.8249
4,10,25669.92759
4,11,16317.76194
4,12,16910.6571
4,13,29898.98699
4,14,49085.77867
4,17,28969.15205
4,18,41851.15365
4,19,49126.35041
4,21,37903.39741
4,23,11373.84873
4,24,19343.03715
4,25,17595.35714
4,27,30587.34499
4,28,24518.09071
4,29,33393.34202
5,6,6580.373403
5,7,4617.758551
5,8,36628.07773
5,9,40247.81439
5,10,22132.13205
5,11,13718.08705
5,12,13393.99378
5,13,27729.15283
5,14,46986.587
5,17,24980.55154
5,18,38102.13545
5,19,44953.78048
5,21,33726.315
5,23,7188.120117
5,24,16597.07062
5,25,13441.89107
5,27,26751.23958
5,28,20336.44324
5,29,29312.01089
6,7,4467.48399
6,8,32587.27159
6,9,35056.44477
6,10,20173.2718
6,11,9812.314076
6,12,11827.85025
6,13,22850.87096
6,14,41974.02218
6,17,28852.22203
6,18,42509.01437
6,19,45660.91664
6,21,34632.24307
6,23,9934.995843
6,24,22717.10673
6,25,14887.47468
6,27,25713.04408
6,28,23161.59699
6,29,32658.71542
7,8,32032.3596
7,9,35677.77384
7,10,17920.78132
7,11,9101.829344
7,12,9163.268725
7,13,23135.33569
7,14,42388.20996
7,17,24397.46243
7,18,38041.53419
7,19,42089.53067
7,20,49619.32788
7,21,30941.35481
7,23,5471.511302
7,24,18813.61492
7,25,10799.22395
7,27,22925.6244
7,28,18824.07038
7,29,28266.9436
8,9,9413.051256
8,10,16616.18782
8,11,23047.36602
8,12,23857.57134
8,13,10659.82234
8,14,12725.67215
8,17,37506.99885
8,18,48316.45462
8,19,31572.48523
8,20,21865.15537
8,21,26759.9843
8,22,24100.39007
8,23,31884.45308
8,24,44335.94033
8,25,27975.39149
8,26,21517.87897
8,27,17177.69717
8,28,31561.41569
8,29,37016.25593
8,30,41568.13866
8,31,37440.32109
8,32,26455.8529
9,10,23612.10891
9,11,26665.99344
9,12,28966.12143
9,13,12598.48765
9,14,7059.395325
9,17,45564.10657
9,19,40913.62348
9,20,27975.88651
9,21,36019.71584
9,22,28678.04398
9,23,36867.07789
9,25,34193.739
9,26,24010.59661
9,27,25702.73624
9,28,39210.51941
9,29,45596.15168
9,30,36613.47277
9,31,35384.21168
9,32,19830.78548
10,11,10878.82247
10,12,8766.577694
10,13,12836.43119
10,14,28952.69801
10,17,22195.14013
10,18,34725.88351
10,19,27360.09999
10,20,31721.99757
10,21,17608.95931
10,22,35835.19862
10,23,16136.50498
10,24,27724.42309
10,25,11439.58972
10,26,35693.82182
10,27,6142.659943
10,28,15643.32739
10,29,23016.17385
10,32,42747.19173
11,12,4829.775387
11,13,14081.72808
11,14,33311.00435
11,17,26024.19968
11,18,39806.64627
11,19,37744.32746
11,20,41675.35339
11,21,27240.97929
11,22,45338.97462
11,23,10728.19753
11,24,25341.84399
11,25,10992.23391
11,26,44149.85633
11,27,16850.05592
11,28,19312.85077
11,29,28657.46663
11,32,46476.72557
12,13,16523.08329
12,14,35210.07962
12,17,21224.1081
12,18,34984.74094
12,19,34024.47437
12,20,40485.17015
12,21,23190.37359
12,22,44542.93325
12,23,8048.675085
12,24,21796.85756
12,25,6323.225105
12,26,44095.31439
12,27,13921.24596
12,28,14487.60513
12,29,23835.69787
12,32,48745.38358
13,14,19258.64507
13,17,34912.8871
13,18,47553.58246
13,19,36704.72367
13,20,32127.19958
13,21,28889.7032
13,22,34702.15297
13,23,24317.38665
13,24,38281.70091
13,25,22121.14614
13,26,32089.78779
13,27,17091.77012
13,28,28204.93315
13,29,35844.45872
13,30,49105.8254
13,31,46799.64098
13,32,32426.89175
14,19,41996.42183
14,20,25019.15638
14,21,38905.32297
14,22,24510.56009
14,23,43216.50337
14,25,40032.66987
14,26,18833.28083
14,27,29898.88091
14,28,44214.10668
14,30,29870.44564
14,31,28357.29808
14,32,13801.76334
14,46,49200.69034
15,16,7521.108066
15,17,34090.96401
15,18,20515.24787
15,19,34893.33293
15,21,37107.01689
15,24,44323.80296
15,25,48947.37773
15,27,48313.10893
15,28,40326.07078
15,29,30834.66731
16,17,41546.50021
16,18,28032.04299
16,19,39945.46608
16,21,43506.59331
16,28,47690.08814
16,29,38151.8959
17,18,13863.83405
17,19,25774.84269
17,20,44402.26316
17,21,16437.81119
17,22,49543.06017
17,23,18928.16864
17,24,14685.17189
17,25,15116.85579
17,27,20391.36959
17,28,6856.558083
17,29,4927.249093
18,19,26782.22139
18,20,49938.99122
18,21,22619.68925
18,23,32579.91476
18,24,24324.3885
18,25,28965.21443
18,27,31404.52879
18,28,20498.60302
18,29,11709.76706
19,20,24344.88973
19,21,11230.63657
19,22,29468.35176
19,23,37765.74151
19,24,40113.96131
19,25,31534.33831
19,26,34449.40916
19,27,21232.35023
19,28,25898.00141
19,29,21379.57061
20,21,28309.21303
20,22,5271.347167
20,23,47547.49152
20,25,41908.53315
20,26,10545.54317
20,27,27673.60058
20,28,41029.73256
20,29,41483.50432
20,30,39467.13389
20,31,29301.32404
20,32,32563.92834
21,22,33536.24484
21,23,26538.22339
21,24,29842.57301
21,25,20318.5042
21,26,36736.27418
21,27,11923.95498
21,28,15012.55179
21,29,13174.46345
22,25,46399.53446
22,26,6912.027472
22,27,32237.35176
22,28,45973.99569
22,29,46706.91377
22,30,34962.89819
22,31,24279.61037
22,32,29858.70636
23,24,14708.19291
23,25,6275.230026
23,27,20058.54891
23,28,13523.67608
23,29,22862.95058
24,25,16433.93023
24,27,29117.45394
24,28,15204.63219
24,29,19570.12595
25,26,46846.90945
25,27,14242.0164
25,28,8629.646174
25,29,18199.52441
26,27,33168.71237
26,28,47681.92282
26,29,49711.03163
26,30,28990.61983
26,31,19615.48322
26,32,22956.35751
26,46,48567.77454
27,28,14868.69681
27,29,19914.74957
27,32,43568.74307
28,29,9581.461274
29,14,49690.66073
30,31,12819.38968
30,32,17433.94151
30,38,33326.32663
30,39,26252.06508
30,40,36874.41489
30,41,40712.50956
30,42,36616.50711
30,43,41646.80944
30,44,30536.64651
30,45,48370.94032
30,46,20090.43866
30,47,24388.44085
30,53,42246.79414
30,56,49681.52907
31,32,20874.20083
31,38,41475.68327
31,39,36570.78755
31,40,44498.03939
31,42,45168.11654
31,44,41142.37206
31,46,29945.24036
31,47,34908.34903
32,38,49475.47583
32,39,40933.565
32,44,44544.9407
32,46,35748.70324
32,47,38980.8157
33,37,17878.35964
34,35,11040.69396
34,36,7383.859001
34,37,47557.76591
34,41,48070.35531
34,49,34902.10995
34,50,32354.53588
34,51,48050.65826
34,53,46332.80379
34,149,20402.5821
34,150,27593.80316
34,151,22084.45172
34,152,21896.59136
34,153,29156.76513
34,154,2529.352241
34,155,10852.85641
34,156,17825.60568
34,157,11301.25397
34,158,27965.63059
34,159,45608.19245
34,161,33587.82525
34,162,31179.15778
34,163,36781.72117
34,164,46304.273
34,165,40873.32611
34,175,23220.11665
34,176,43460.33339
34,177,28472.29043
34,178,46097.65817
34,179,10947.80785
34,180,27743.06261
34,298,37340.66482
34,299,46448.9043
34,301,31778.60513
34,302,32542.96094
34,303,39657.20798
34,304,34062.29302
34,305,48485.18689
34,306,24375.91601
34,307,23257.88957
34,308,32296.96906
34,309,30106.76445
34,310,44227.36803
34,311,40545.98457
34,312,19268.08618
34,313,41876.59518
34,314,19476.37804
34,315,32684.22578
34,316,39135.45252
34,317,31357.48054
34,318,28611.97534
34,320,31760.41439
34,321,36036.86484
34,360,46218.33849
35,36,4915.24014
35,37,47554.20948
35,49,43647.39954
35,50,40345.79374
35,149,25607.08059
35,150,25075.13584
35,151,30972.80583
35,152,19691.32794
35,153,27699.17946
35,154,11067.21833
35,155,5683.200782
35,156,13078.02139
35,157,19939.43245
35,158,24035.16724
35,161,41544.25206
35,162,38975.91612
35,163,43824.03782
35,165,46402.63524
35,175,33656.13197
35,176,47297.70635
35,177,34728.47149
35,178,48887.12614
35,179,804.8363254
35,180,23690.75933
35,298,28792.75163
35,299,40796.5806
35,300,49455.30451
35,301,27873.12875
35,302,22782.82119
35,303,34909.49438
35,304,31692.18501
35,305,42066.66302
35,306,17551.66613
35,307,13821.17188
35,308,24553.63173
35,309,22386.50435
35,310,35146.8799
35,311,35293.68135
35,312,13331.93433
35,313,33052.45775
35,314,8516.944663
35,315,26214.63067
35,316,29691.55769
35,317,26058.01546
35,318,22688.53534
35,319,44331.17814
